"LON","LAT","YEAR","MO","DY","HR","PRECTOTCORR"
5.5383,22.8284,2022,3,24,7,0
5.5383,22.8284,2022,3,24,8,0
5.5383,22.8284,2022,3,24,9,0
5.5383,22.8284,2022,3,24,10,0
5.5383,22.8284,2022,3,24,11,0
5.5383,22.8284,2022,3,24,12,0
5.5383,22.8284,2022,3,24,13,0
5.5383,22.8284,2022,3,24,14,0
5.5383,22.8284,2022,3,24,15,0
5.5383,22.8284,2022,3,24,16,0
5.5383,22.8284,2022,3,24,17,0
5.5383,22.8284,2022,3,24,18,0
5.5383,22.8284,2022,3,24,19,0
5.5383,22.8284,2022,3,24,20,0
5.5383,22.8284,2022,3,24,21,0
5.5383,22.8284,2022,3,24,22,0
5.5383,22.8284,2022,3,24,23,0
5.5383,22.8284,2022,3,25,0,0
5.5383,22.8284,2022,3,25,1,0
5.5383,22.8284,2022,3,25,2,0
5.5383,22.8284,2022,3,25,3,0
5.5383,22.8284,2022,3,25,4,0
5.5383,22.8284,2022,3,25,5,0
5.5383,22.8284,2022,3,25,6,0
5.5383,22.8284,2022,3,25,7,0
5.5383,22.8284,2022,3,25,8,0
5.5383,22.8284,2022,3,25,9,0
5.5383,22.8284,2022,3,25,10,0
5.5383,22.8284,2022,3,25,11,0
5.5383,22.8284,2022,3,25,12,0
5.5383,22.8284,2022,3,25,13,0
5.5383,22.8284,2022,3,25,14,0
5.5383,22.8284,2022,3,25,15,0
5.5383,22.8284,2022,3,25,16,0
5.5383,22.8284,2022,3,25,17,0
5.5383,22.8284,2022,3,25,18,0
5.5383,22.8284,2022,3,25,19,0
5.5383,22.8284,2022,3,25,20,0
5.5383,22.8284,2022,3,25,21,0
5.5383,22.8284,2022,3,25,22,0
5.5383,22.8284,2022,3,25,23,0
5.5383,22.8284,2022,3,26,0,0
5.5383,22.8284,2022,3,26,1,0
5.5383,22.8284,2022,3,26,2,0
5.5383,22.8284,2022,3,26,3,0
5.5383,22.8284,2022,3,26,4,0
5.5383,22.8284,2022,3,26,5,0
5.5383,22.8284,2022,3,26,6,0
5.5383,22.8284,2022,3,26,7,0
5.5383,22.8284,2022,3,26,8,0
5.5383,22.8284,2022,3,26,9,0
5.5383,22.8284,2022,3,26,10,0
5.5383,22.8284,2022,3,26,11,0
5.5383,22.8284,2022,3,26,12,0
5.5383,22.8284,2022,3,26,13,0
5.5383,22.8284,2022,3,26,14,0
5.5383,22.8284,2022,3,26,15,0
5.5383,22.8284,2022,3,26,16,0
5.5383,22.8284,2022,3,26,17,0
5.5383,22.8284,2022,3,26,18,0
5.5383,22.8284,2022,3,26,19,0
5.5383,22.8284,2022,3,26,20,0
5.5383,22.8284,2022,3,26,21,0
5.5383,22.8284,2022,3,26,22,0
5.5383,22.8284,2022,3,26,23,0
5.5383,22.8284,2022,3,27,0,0
5.5383,22.8284,2022,3,27,1,0
5.5383,22.8284,2022,3,27,2,0
5.5383,22.8284,2022,3,27,3,0
5.5383,22.8284,2022,3,27,4,0
5.5383,22.8284,2022,3,27,5,0
5.5383,22.8284,2022,3,27,6,0
5.5383,22.8284,2022,3,27,7,0
5.5383,22.8284,2022,3,27,8,0
5.5383,22.8284,2022,3,27,9,0
5.5383,22.8284,2022,3,27,10,0
5.5383,22.8284,2022,3,27,11,0
5.5383,22.8284,2022,3,27,12,0
5.5383,22.8284,2022,3,27,13,0
5.5383,22.8284,2022,3,27,14,0
5.5383,22.8284,2022,3,27,15,0
5.5383,22.8284,2022,3,27,16,0
5.5383,22.8284,2022,3,27,17,0
5.5383,22.8284,2022,3,27,18,0
5.5383,22.8284,2022,3,27,19,0
5.5383,22.8284,2022,3,27,20,0
5.5383,22.8284,2022,3,27,21,0
5.5383,22.8284,2022,3,27,22,0
5.5383,22.8284,2022,3,27,23,0
5.5383,22.8284,2022,3,28,0,0
5.5383,22.8284,2022,3,28,1,0
5.5383,22.8284,2022,3,28,2,0
5.5383,22.8284,2022,3,28,3,0
5.5383,22.8284,2022,3,28,4,0
5.5383,22.8284,2022,3,28,5,0
5.5383,22.8284,2022,3,28,6,0
5.5383,22.8284,2022,3,28,7,0
5.5383,22.8284,2022,3,28,8,0
5.5383,22.8284,2022,3,28,9,0
5.5383,22.8284,2022,3,28,10,0
5.5383,22.8284,2022,3,28,11,0
5.5383,22.8284,2022,3,28,12,0
5.5383,22.8284,2022,3,28,13,0
5.5383,22.8284,2022,3,28,14,0
5.5383,22.8284,2022,3,28,15,0
5.5383,22.8284,2022,3,28,16,0
5.5383,22.8284,2022,3,28,17,0
5.5383,22.8284,2022,3,28,18,0
5.5383,22.8284,2022,3,28,19,0
5.5383,22.8284,2022,3,28,20,0
5.5383,22.8284,2022,3,28,21,0
5.5383,22.8284,2022,3,28,22,0
5.5383,22.8284,2022,3,28,23,0
5.5383,22.8284,2022,3,29,0,0
5.5383,22.8284,2022,3,29,1,0
5.5383,22.8284,2022,3,29,2,0
5.5383,22.8284,2022,3,29,3,0
5.5383,22.8284,2022,3,29,4,0
5.5383,22.8284,2022,3,29,5,0
5.5383,22.8284,2022,3,29,6,0
5.5383,22.8284,2022,3,29,7,0
5.5383,22.8284,2022,3,29,8,0
5.5383,22.8284,2022,3,29,9,0
5.5383,22.8284,2022,3,29,10,0
5.5383,22.8284,2022,3,29,11,0
5.5383,22.8284,2022,3,29,12,0
5.5383,22.8284,2022,3,29,13,0
5.5383,22.8284,2022,3,29,14,0
5.5383,22.8284,2022,3,29,15,0
5.5383,22.8284,2022,3,29,16,0
5.5383,22.8284,2022,3,29,17,0
5.5383,22.8284,2022,3,29,18,0
5.5383,22.8284,2022,3,29,19,0
5.5383,22.8284,2022,3,29,20,0
5.5383,22.8284,2022,3,29,21,0
5.5383,22.8284,2022,3,29,22,0
5.5383,22.8284,2022,3,29,23,0
5.5383,22.8284,2022,3,30,0,0
5.5383,22.8284,2022,3,30,1,0
5.5383,22.8284,2022,3,30,2,0
5.5383,22.8284,2022,3,30,3,0
5.5383,22.8284,2022,3,30,4,0
5.5383,22.8284,2022,3,30,5,0
5.5383,22.8284,2022,3,30,6,0
5.5383,22.8284,2022,3,30,7,0
5.5383,22.8284,2022,3,30,8,0
5.5383,22.8284,2022,3,30,9,0
5.5383,22.8284,2022,3,30,10,0
5.5383,22.8284,2022,3,30,11,0
5.5383,22.8284,2022,3,30,12,0
5.5383,22.8284,2022,3,30,13,0
5.5383,22.8284,2022,3,30,14,0
5.5383,22.8284,2022,3,30,15,0
5.5383,22.8284,2022,3,30,16,0
5.5383,22.8284,2022,3,30,17,0
5.5383,22.8284,2022,3,30,18,0
5.5383,22.8284,2022,3,30,19,0
5.5383,22.8284,2022,3,30,20,0
5.5383,22.8284,2022,3,30,21,0
5.5383,22.8284,2022,3,30,22,0
5.5383,22.8284,2022,3,30,23,0
5.5383,22.8284,2022,3,31,0,0
5.5383,22.8284,2022,3,31,1,0
5.5383,22.8284,2022,3,31,2,0
5.5383,22.8284,2022,3,31,3,0
5.5383,22.8284,2022,3,31,4,0
5.5383,22.8284,2022,3,31,5,0
5.5383,22.8284,2022,3,31,6,0
5.5383,22.8284,2022,3,31,7,0
5.5383,22.8284,2022,3,31,8,0
5.5383,22.8284,2022,3,31,9,0
5.5383,22.8284,2022,3,31,10,0
5.5383,22.8284,2022,3,31,11,0
5.5383,22.8284,2022,3,31,12,0
5.5383,22.8284,2022,3,31,13,0
5.5383,22.8284,2022,3,31,14,0
5.5383,22.8284,2022,3,31,15,0
5.5383,22.8284,2022,3,31,16,0
5.5383,22.8284,2022,3,31,17,0
5.5383,22.8284,2022,3,31,18,0
5.5383,22.8284,2022,3,31,19,0
5.5383,22.8284,2022,3,31,20,0
5.5383,22.8284,2022,3,31,21,0
5.5383,22.8284,2022,3,31,22,0
5.5383,22.8284,2022,3,31,23,0
0.177,35.9838,2022,1,1,0,0
0.177,35.9838,2022,1,1,1,0
0.177,35.9838,2022,1,1,2,0
0.177,35.9838,2022,1,1,3,0
0.177,35.9838,2022,1,1,4,0
0.177,35.9838,2022,1,1,5,0
0.177,35.9838,2022,1,1,6,0
0.177,35.9838,2022,1,1,7,0
0.177,35.9838,2022,1,1,8,0
0.177,35.9838,2022,1,1,9,0
0.177,35.9838,2022,1,1,10,0
0.177,35.9838,2022,1,1,11,0
0.177,35.9838,2022,1,1,12,0
0.177,35.9838,2022,1,1,13,0
0.177,35.9838,2022,1,1,14,0
0.177,35.9838,2022,1,1,15,0
0.177,35.9838,2022,1,1,16,0
0.177,35.9838,2022,1,1,17,0
0.177,35.9838,2022,1,1,18,0
0.177,35.9838,2022,1,1,19,0
0.177,35.9838,2022,1,1,20,0
0.177,35.9838,2022,1,1,21,0
0.177,35.9838,2022,1,1,22,0
0.177,35.9838,2022,1,1,23,0
0.177,35.9838,2022,1,2,0,0
0.177,35.9838,2022,1,2,1,0
0.177,35.9838,2022,1,2,2,0
0.177,35.9838,2022,1,2,3,0
0.177,35.9838,2022,1,2,4,0
0.177,35.9838,2022,1,2,5,0
0.177,35.9838,2022,1,2,6,0
0.177,35.9838,2022,1,2,7,0
0.177,35.9838,2022,1,2,8,0
0.177,35.9838,2022,1,2,9,0
0.177,35.9838,2022,1,2,10,0
0.177,35.9838,2022,1,2,11,0
0.177,35.9838,2022,1,2,12,0
0.177,35.9838,2022,1,2,13,0
0.177,35.9838,2022,1,2,14,0
0.177,35.9838,2022,1,2,15,0
0.177,35.9838,2022,1,2,16,0
0.177,35.9838,2022,1,2,17,0
0.177,35.9838,2022,1,2,18,0
0.177,35.9838,2022,1,2,19,0
0.177,35.9838,2022,1,2,20,0
0.177,35.9838,2022,1,2,21,0
0.177,35.9838,2022,1,2,22,0
0.177,35.9838,2022,1,2,23,0
0.177,35.9838,2022,1,3,0,0
0.177,35.9838,2022,1,3,1,0
0.177,35.9838,2022,1,3,2,0
0.177,35.9838,2022,1,3,3,0
0.177,35.9838,2022,1,3,4,0
0.177,35.9838,2022,1,3,5,0
0.177,35.9838,2022,1,3,6,0
0.177,35.9838,2022,1,3,7,0
0.177,35.9838,2022,1,3,8,0
0.177,35.9838,2022,1,3,9,0
0.177,35.9838,2022,1,3,10,0
0.177,35.9838,2022,1,3,11,0
0.177,35.9838,2022,1,3,12,0
0.177,35.9838,2022,1,3,13,0
0.177,35.9838,2022,1,3,14,0
0.177,35.9838,2022,1,3,15,0
0.177,35.9838,2022,1,3,16,0
0.177,35.9838,2022,1,3,17,0
0.177,35.9838,2022,1,3,18,0
0.177,35.9838,2022,1,3,19,0
0.177,35.9838,2022,1,3,20,0
0.177,35.9838,2022,1,3,21,0
0.177,35.9838,2022,1,3,22,0
0.177,35.9838,2022,1,3,23,0
0.177,35.9838,2022,1,4,0,0
0.177,35.9838,2022,1,4,1,0
0.177,35.9838,2022,1,4,2,0
0.177,35.9838,2022,1,4,3,0
0.177,35.9838,2022,1,4,4,0
0.177,35.9838,2022,1,4,5,0
0.177,35.9838,2022,1,4,6,0
0.177,35.9838,2022,1,4,7,0
0.177,35.9838,2022,1,4,8,0
0.177,35.9838,2022,1,4,9,0
0.177,35.9838,2022,1,4,10,0
0.177,35.9838,2022,1,4,11,0
0.177,35.9838,2022,1,4,12,0
0.177,35.9838,2022,1,4,13,0
0.177,35.9838,2022,1,4,14,0
0.177,35.9838,2022,1,4,15,0
0.177,35.9838,2022,1,4,16,0
0.177,35.9838,2022,1,4,17,0
0.177,35.9838,2022,1,4,18,0
0.177,35.9838,2022,1,4,19,0
0.177,35.9838,2022,1,4,20,0
0.177,35.9838,2022,1,4,21,0
0.177,35.9838,2022,1,4,22,0.11
0.177,35.9838,2022,1,4,23,0.43
0.177,35.9838,2022,1,5,0,0.75
0.177,35.9838,2022,1,5,1,0.35
0.177,35.9838,2022,1,5,2,0.05
0.177,35.9838,2022,1,5,3,0.01
0.177,35.9838,2022,1,5,4,0
0.177,35.9838,2022,1,5,5,0
0.177,35.9838,2022,1,5,6,0.01
0.177,35.9838,2022,1,5,7,0.02
0.177,35.9838,2022,1,5,8,0.03
0.177,35.9838,2022,1,5,9,0.03
0.177,35.9838,2022,1,5,10,0.02
0.177,35.9838,2022,1,5,11,0.03
0.177,35.9838,2022,1,5,12,0.04
0.177,35.9838,2022,1,5,13,0.02
0.177,35.9838,2022,1,5,14,0.01
0.177,35.9838,2022,1,5,15,0.01
0.177,35.9838,2022,1,5,16,0
0.177,35.9838,2022,1,5,17,0
0.177,35.9838,2022,1,5,18,0
0.177,35.9838,2022,1,5,19,0
0.177,35.9838,2022,1,5,20,0
0.177,35.9838,2022,1,5,21,0
0.177,35.9838,2022,1,5,22,0.01
0.177,35.9838,2022,1,5,23,0.07
0.177,35.9838,2022,1,6,0,0.09
0.177,35.9838,2022,1,6,1,0.51
0.177,35.9838,2022,1,6,2,1.14
0.177,35.9838,2022,1,6,3,1.2
0.177,35.9838,2022,1,6,4,0.8
0.177,35.9838,2022,1,6,5,0.38
0.177,35.9838,2022,1,6,6,0.11
0.177,35.9838,2022,1,6,7,0.04
0.177,35.9838,2022,1,6,8,0.05
0.177,35.9838,2022,1,6,9,0.05
0.177,35.9838,2022,1,6,10,0.03
0.177,35.9838,2022,1,6,11,0.02
0.177,35.9838,2022,1,6,12,0.02
0.177,35.9838,2022,1,6,13,0.01
0.177,35.9838,2022,1,6,14,0.01
0.177,35.9838,2022,1,6,15,0
0.177,35.9838,2022,1,6,16,0
0.177,35.9838,2022,1,6,17,0
0.177,35.9838,2022,1,6,18,0
0.177,35.9838,2022,1,6,19,0
0.177,35.9838,2022,1,6,20,0
0.177,35.9838,2022,1,6,21,0
0.177,35.9838,2022,1,6,22,0
0.177,35.9838,2022,1,6,23,0
0.177,35.9838,2022,1,7,0,0
0.177,35.9838,2022,1,7,1,0
0.177,35.9838,2022,1,7,2,0
0.177,35.9838,2022,1,7,3,0
0.177,35.9838,2022,1,7,4,0
0.177,35.9838,2022,1,7,5,0
0.177,35.9838,2022,1,7,6,0
0.177,35.9838,2022,1,7,7,0
0.177,35.9838,2022,1,7,8,0
0.177,35.9838,2022,1,7,9,0
0.177,35.9838,2022,1,7,10,0
0.177,35.9838,2022,1,7,11,0
0.177,35.9838,2022,1,7,12,0
0.177,35.9838,2022,1,7,13,0
0.177,35.9838,2022,1,7,14,0
0.177,35.9838,2022,1,7,15,0
0.177,35.9838,2022,1,7,16,0
0.177,35.9838,2022,1,7,17,0
0.177,35.9838,2022,1,7,18,0
0.177,35.9838,2022,1,7,19,0
0.177,35.9838,2022,1,7,20,0
0.177,35.9838,2022,1,7,21,0
0.177,35.9838,2022,1,7,22,0
0.177,35.9838,2022,1,7,23,0
0.177,35.9838,2022,1,8,0,0
0.177,35.9838,2022,1,8,1,0
0.177,35.9838,2022,1,8,2,0
0.177,35.9838,2022,1,8,3,0
0.177,35.9838,2022,1,8,4,0
0.177,35.9838,2022,1,8,5,0
0.177,35.9838,2022,1,8,6,0
0.177,35.9838,2022,1,8,7,0
0.177,35.9838,2022,1,8,8,0
0.177,35.9838,2022,1,8,9,0
0.177,35.9838,2022,1,8,10,0
0.177,35.9838,2022,1,8,11,0
0.177,35.9838,2022,1,8,12,0
0.177,35.9838,2022,1,8,13,0
0.177,35.9838,2022,1,8,14,0
0.177,35.9838,2022,1,8,15,0
0.177,35.9838,2022,1,8,16,0
0.177,35.9838,2022,1,8,17,0
0.177,35.9838,2022,1,8,18,0
0.177,35.9838,2022,1,8,19,0
0.177,35.9838,2022,1,8,20,0
0.177,35.9838,2022,1,8,21,0
0.177,35.9838,2022,1,8,22,0
0.177,35.9838,2022,1,8,23,0
0.177,35.9838,2022,1,9,0,0
0.177,35.9838,2022,1,9,1,0
0.177,35.9838,2022,1,9,2,0
0.177,35.9838,2022,1,9,3,0
0.177,35.9838,2022,1,9,4,0
0.177,35.9838,2022,1,9,5,0
0.177,35.9838,2022,1,9,6,0
0.177,35.9838,2022,1,9,7,0
0.177,35.9838,2022,1,9,8,0
0.177,35.9838,2022,1,9,9,0
0.177,35.9838,2022,1,9,10,0
0.177,35.9838,2022,1,9,11,0
0.177,35.9838,2022,1,9,12,0
0.177,35.9838,2022,1,9,13,0
0.177,35.9838,2022,1,9,14,0
0.177,35.9838,2022,1,9,15,0
0.177,35.9838,2022,1,9,16,0
0.177,35.9838,2022,1,9,17,0
0.177,35.9838,2022,1,9,18,0
0.177,35.9838,2022,1,9,19,0
0.177,35.9838,2022,1,9,20,0.01
0.177,35.9838,2022,1,9,21,0.01
0.177,35.9838,2022,1,9,22,0.01
0.177,35.9838,2022,1,9,23,0
0.177,35.9838,2022,1,10,0,0
0.177,35.9838,2022,1,10,1,0
0.177,35.9838,2022,1,10,2,0.01
0.177,35.9838,2022,1,10,3,0.01
0.177,35.9838,2022,1,10,4,0
0.177,35.9838,2022,1,10,5,0
0.177,35.9838,2022,1,10,6,0
0.177,35.9838,2022,1,10,7,0.01
0.177,35.9838,2022,1,10,8,0.01
0.177,35.9838,2022,1,10,9,0
0.177,35.9838,2022,1,10,10,0
0.177,35.9838,2022,1,10,11,0
0.177,35.9838,2022,1,10,12,0
0.177,35.9838,2022,1,10,13,0
0.177,35.9838,2022,1,10,14,0
0.177,35.9838,2022,1,10,15,0
0.177,35.9838,2022,1,10,16,0
0.177,35.9838,2022,1,10,17,0
0.177,35.9838,2022,1,10,18,0
0.177,35.9838,2022,1,10,19,0.01
0.177,35.9838,2022,1,10,20,0.01
0.177,35.9838,2022,1,10,21,0.01
0.177,35.9838,2022,1,10,22,0.01
0.177,35.9838,2022,1,10,23,0.01
0.177,35.9838,2022,1,11,0,0.01
0.177,35.9838,2022,1,11,1,0.01
0.177,35.9838,2022,1,11,2,0.01
0.177,35.9838,2022,1,11,3,0.01
0.177,35.9838,2022,1,11,4,0.01
0.177,35.9838,2022,1,11,5,0.01
0.177,35.9838,2022,1,11,6,0.01
0.177,35.9838,2022,1,11,7,0.01
0.177,35.9838,2022,1,11,8,0.01
0.177,35.9838,2022,1,11,9,0.01
0.177,35.9838,2022,1,11,10,0.02
0.177,35.9838,2022,1,11,11,0.02
0.177,35.9838,2022,1,11,12,0.01
0.177,35.9838,2022,1,11,13,0
0.177,35.9838,2022,1,11,14,0
0.177,35.9838,2022,1,11,15,0
0.177,35.9838,2022,1,11,16,0
0.177,35.9838,2022,1,11,17,0
0.177,35.9838,2022,1,11,18,0
0.177,35.9838,2022,1,11,19,0
0.177,35.9838,2022,1,11,20,0
0.177,35.9838,2022,1,11,21,0
0.177,35.9838,2022,1,11,22,0
0.177,35.9838,2022,1,11,23,0
0.177,35.9838,2022,1,12,0,0
0.177,35.9838,2022,1,12,1,0
0.177,35.9838,2022,1,12,2,0
0.177,35.9838,2022,1,12,3,0
0.177,35.9838,2022,1,12,4,0
0.177,35.9838,2022,1,12,5,0
0.177,35.9838,2022,1,12,6,0
0.177,35.9838,2022,1,12,7,0
0.177,35.9838,2022,1,12,8,0
0.177,35.9838,2022,1,12,9,0
0.177,35.9838,2022,1,12,10,0
0.177,35.9838,2022,1,12,11,0
0.177,35.9838,2022,1,12,12,0
0.177,35.9838,2022,1,12,13,0
0.177,35.9838,2022,1,12,14,0
0.177,35.9838,2022,1,12,15,0
0.177,35.9838,2022,1,12,16,0
0.177,35.9838,2022,1,12,17,0
0.177,35.9838,2022,1,12,18,0
0.177,35.9838,2022,1,12,19,0
0.177,35.9838,2022,1,12,20,0
0.177,35.9838,2022,1,12,21,0
0.177,35.9838,2022,1,12,22,0
0.177,35.9838,2022,1,12,23,0
0.177,35.9838,2022,1,13,0,0
0.177,35.9838,2022,1,13,1,0
0.177,35.9838,2022,1,13,2,0
0.177,35.9838,2022,1,13,3,0
0.177,35.9838,2022,1,13,4,0
0.177,35.9838,2022,1,13,5,0
0.177,35.9838,2022,1,13,6,0
0.177,35.9838,2022,1,13,7,0
0.177,35.9838,2022,1,13,8,0
0.177,35.9838,2022,1,13,9,0
0.177,35.9838,2022,1,13,10,0
0.177,35.9838,2022,1,13,11,0
0.177,35.9838,2022,1,13,12,0
0.177,35.9838,2022,1,13,13,0
0.177,35.9838,2022,1,13,14,0
0.177,35.9838,2022,1,13,15,0
0.177,35.9838,2022,1,13,16,0
0.177,35.9838,2022,1,13,17,0
0.177,35.9838,2022,1,13,18,0
0.177,35.9838,2022,1,13,19,0
0.177,35.9838,2022,1,13,20,0
0.177,35.9838,2022,1,13,21,0
0.177,35.9838,2022,1,13,22,0
0.177,35.9838,2022,1,13,23,0
0.177,35.9838,2022,1,14,0,0
0.177,35.9838,2022,1,14,1,0
0.177,35.9838,2022,1,14,2,0
0.177,35.9838,2022,1,14,3,0
0.177,35.9838,2022,1,14,4,0
0.177,35.9838,2022,1,14,5,0
0.177,35.9838,2022,1,14,6,0
0.177,35.9838,2022,1,14,7,0
0.177,35.9838,2022,1,14,8,0
0.177,35.9838,2022,1,14,9,0
0.177,35.9838,2022,1,14,10,0
0.177,35.9838,2022,1,14,11,0
0.177,35.9838,2022,1,14,12,0
0.177,35.9838,2022,1,14,13,0
0.177,35.9838,2022,1,14,14,0
0.177,35.9838,2022,1,14,15,0
0.177,35.9838,2022,1,14,16,0
0.177,35.9838,2022,1,14,17,0
0.177,35.9838,2022,1,14,18,0
0.177,35.9838,2022,1,14,19,0
0.177,35.9838,2022,1,14,20,0
0.177,35.9838,2022,1,14,21,0
0.177,35.9838,2022,1,14,22,0
0.177,35.9838,2022,1,14,23,0
0.177,35.9838,2022,1,15,0,0
0.177,35.9838,2022,1,15,1,0
0.177,35.9838,2022,1,15,2,0
0.177,35.9838,2022,1,15,3,0
0.177,35.9838,2022,1,15,4,0
0.177,35.9838,2022,1,15,5,0
0.177,35.9838,2022,1,15,6,0
0.177,35.9838,2022,1,15,7,0
0.177,35.9838,2022,1,15,8,0
0.177,35.9838,2022,1,15,9,0
0.177,35.9838,2022,1,15,10,0
0.177,35.9838,2022,1,15,11,0
0.177,35.9838,2022,1,15,12,0
0.177,35.9838,2022,1,15,13,0
0.177,35.9838,2022,1,15,14,0
0.177,35.9838,2022,1,15,15,0
0.177,35.9838,2022,1,15,16,0
0.177,35.9838,2022,1,15,17,0
0.177,35.9838,2022,1,15,18,0
0.177,35.9838,2022,1,15,19,0
0.177,35.9838,2022,1,15,20,0
0.177,35.9838,2022,1,15,21,0
0.177,35.9838,2022,1,15,22,0
0.177,35.9838,2022,1,15,23,0
0.177,35.9838,2022,1,16,0,0
0.177,35.9838,2022,1,16,1,0
0.177,35.9838,2022,1,16,2,0
0.177,35.9838,2022,1,16,3,0
0.177,35.9838,2022,1,16,4,0
0.177,35.9838,2022,1,16,5,0
0.177,35.9838,2022,1,16,6,0
0.177,35.9838,2022,1,16,7,0
0.177,35.9838,2022,1,16,8,0
0.177,35.9838,2022,1,16,9,0
0.177,35.9838,2022,1,16,10,0
0.177,35.9838,2022,1,16,11,0
0.177,35.9838,2022,1,16,12,0
0.177,35.9838,2022,1,16,13,0
0.177,35.9838,2022,1,16,14,0
0.177,35.9838,2022,1,16,15,0
0.177,35.9838,2022,1,16,16,0
0.177,35.9838,2022,1,16,17,0
0.177,35.9838,2022,1,16,18,0
0.177,35.9838,2022,1,16,19,0
0.177,35.9838,2022,1,16,20,0
0.177,35.9838,2022,1,16,21,0
0.177,35.9838,2022,1,16,22,0
0.177,35.9838,2022,1,16,23,0
0.177,35.9838,2022,1,17,0,0
0.177,35.9838,2022,1,17,1,0
0.177,35.9838,2022,1,17,2,0
0.177,35.9838,2022,1,17,3,0
0.177,35.9838,2022,1,17,4,0
0.177,35.9838,2022,1,17,5,0
0.177,35.9838,2022,1,17,6,0
0.177,35.9838,2022,1,17,7,0
0.177,35.9838,2022,1,17,8,0
0.177,35.9838,2022,1,17,9,0
0.177,35.9838,2022,1,17,10,0
0.177,35.9838,2022,1,17,11,0
0.177,35.9838,2022,1,17,12,0
0.177,35.9838,2022,1,17,13,0
0.177,35.9838,2022,1,17,14,0
0.177,35.9838,2022,1,17,15,0
0.177,35.9838,2022,1,17,16,0
0.177,35.9838,2022,1,17,17,0
0.177,35.9838,2022,1,17,18,0
0.177,35.9838,2022,1,17,19,0
0.177,35.9838,2022,1,17,20,0
0.177,35.9838,2022,1,17,21,0
0.177,35.9838,2022,1,17,22,0
0.177,35.9838,2022,1,17,23,0
0.177,35.9838,2022,1,18,0,0
0.177,35.9838,2022,1,18,1,0
0.177,35.9838,2022,1,18,2,0
0.177,35.9838,2022,1,18,3,0
0.177,35.9838,2022,1,18,4,0
0.177,35.9838,2022,1,18,5,0
0.177,35.9838,2022,1,18,6,0
0.177,35.9838,2022,1,18,7,0
0.177,35.9838,2022,1,18,8,0
0.177,35.9838,2022,1,18,9,0
0.177,35.9838,2022,1,18,10,0
0.177,35.9838,2022,1,18,11,0
0.177,35.9838,2022,1,18,12,0
0.177,35.9838,2022,1,18,13,0
0.177,35.9838,2022,1,18,14,0
0.177,35.9838,2022,1,18,15,0
0.177,35.9838,2022,1,18,16,0
0.177,35.9838,2022,1,18,17,0
0.177,35.9838,2022,1,18,18,0
0.177,35.9838,2022,1,18,19,0
0.177,35.9838,2022,1,18,20,0
0.177,35.9838,2022,1,18,21,0
0.177,35.9838,2022,1,18,22,0
0.177,35.9838,2022,1,18,23,0
0.177,35.9838,2022,1,19,0,0
0.177,35.9838,2022,1,19,1,0
0.177,35.9838,2022,1,19,2,0
0.177,35.9838,2022,1,19,3,0
0.177,35.9838,2022,1,19,4,0
0.177,35.9838,2022,1,19,5,0
0.177,35.9838,2022,1,19,6,0
0.177,35.9838,2022,1,19,7,0
0.177,35.9838,2022,1,19,8,0
0.177,35.9838,2022,1,19,9,0
0.177,35.9838,2022,1,19,10,0
0.177,35.9838,2022,1,19,11,0
0.177,35.9838,2022,1,19,12,0
0.177,35.9838,2022,1,19,13,0
0.177,35.9838,2022,1,19,14,0
0.177,35.9838,2022,1,19,15,0
0.177,35.9838,2022,1,19,16,0
0.177,35.9838,2022,1,19,17,0
0.177,35.9838,2022,1,19,18,0
0.177,35.9838,2022,1,19,19,0
0.177,35.9838,2022,1,19,20,0
0.177,35.9838,2022,1,19,21,0
0.177,35.9838,2022,1,19,22,0
0.177,35.9838,2022,1,19,23,0
0.177,35.9838,2022,1,20,0,0
0.177,35.9838,2022,1,20,1,0
0.177,35.9838,2022,1,20,2,0
0.177,35.9838,2022,1,20,3,0
0.177,35.9838,2022,1,20,4,0.01
0.177,35.9838,2022,1,20,5,0.01
0.177,35.9838,2022,1,20,6,0.02
0.177,35.9838,2022,1,20,7,0.02
0.177,35.9838,2022,1,20,8,0.02
0.177,35.9838,2022,1,20,9,0.02
0.177,35.9838,2022,1,20,10,0.01
0.177,35.9838,2022,1,20,11,0.01
0.177,35.9838,2022,1,20,12,0.02
0.177,35.9838,2022,1,20,13,0.02
0.177,35.9838,2022,1,20,14,0.02
0.177,35.9838,2022,1,20,15,0.02
0.177,35.9838,2022,1,20,16,0.02
0.177,35.9838,2022,1,20,17,0.02
0.177,35.9838,2022,1,20,18,0.01
0.177,35.9838,2022,1,20,19,0.01
0.177,35.9838,2022,1,20,20,0.02
0.177,35.9838,2022,1,20,21,0.03
0.177,35.9838,2022,1,20,22,0.02
0.177,35.9838,2022,1,20,23,0.02
0.177,35.9838,2022,1,21,0,0
0.177,35.9838,2022,1,21,1,0.01
0.177,35.9838,2022,1,21,2,0.01
0.177,35.9838,2022,1,21,3,0.01
0.177,35.9838,2022,1,21,4,0.01
0.177,35.9838,2022,1,21,5,0.02
0.177,35.9838,2022,1,21,6,0.02
0.177,35.9838,2022,1,21,7,0.02
0.177,35.9838,2022,1,21,8,0.03
0.177,35.9838,2022,1,21,9,0.02
0.177,35.9838,2022,1,21,10,0.01
0.177,35.9838,2022,1,21,11,0.01
0.177,35.9838,2022,1,21,12,0.01
0.177,35.9838,2022,1,21,13,0
0.177,35.9838,2022,1,21,14,0
